event_date,session_timestamp,event_wday,user_id,user_customer_id,session_duration_microseconds,visited_personalised_store,personalise_store_pageviews,visited_purposeful_shelves,purposeful_shelves_pageviews,visited_digi_me,digi_me_pageviews,entered_store,entered_purposeful_shelves,entered_dm,entered_welcome
15/07/2022,1.65785E+15,Friday,12b8871209c2c81f891fd66ac6663867,K9KeA6etCVe1opm6b1ThDsMiVW33,8029319002,0,0,0,0,0,0,1,0,0,0
07/10/2022,1.66513E+15,Friday,425BE6D7542E48E293126C8DECE56983,059VyWLoggdNE5iYtEKRPmN0Sk03,29004388008,0,0,0,0,0,0,1,1,0,1
26/08/2022,1.66151E+15,Friday,CA987884BA0A47A4AF602B365E8F0E82,61gdPddDxtQcBdQycs15Z8UhYHl2,10844001,0,0,0,0,0,0,1,0,0,0
23/09/2022,1.66393E+15,Friday,425BE6D7542E48E293126C8DECE56983,059VyWLoggdNE5iYtEKRPmN0Sk03,0,0,0,0,0,0,0,1,0,0,0
23/09/2022,1.66393E+15,Friday,e086b005b05965ffe236c3bcc8546d4b,yUA5CHbldjZaDwLcYaa7u0yn8Eh1,2049522002,0,0,0,0,0,0,1,1,0,1
23/09/2022,1.66394E+15,Friday,e086b005b05965ffe236c3bcc8546d4b,2YxnK7j2xMfC5IaROt76siUwt3x1,8124094000,0,0,0,0,0,0,1,1,0,1
23/09/2022,1.66393E+15,Friday,1FF256035BA247B0AF2480887ABD0434,qn0hSmruuzO3NqaBbXqWBBy1zEs2,13613679000,0,0,0,0,0,0,1,1,1,1
23/09/2022,1.66393E+15,Friday,e086b005b05965ffe236c3bcc8546d4b,KUxTGWsFWDRfUAFKqJtuOuGKmnp1,6368795003,0,0,0,0,0,0,1,1,1,1
23/09/2022,1.66394E+15,Friday,b23fed60178e092af37263c8a0985ace,8oNsyStKlsSebk0yu259ggKsJh82,4254272029,0,0,0,0,0,0,1,1,1,1
24/06/2022,1.65608E+15,Friday,B6D2710FBB0A4E77805D055D8450A394,RrFRxE3TxhfRM7uFqVMaeflr3nA2,1941106001,0,0,0,0,0,0,1,1,0,1
29/07/2022,1.65908E+15,Friday,24E67F68C97C46CA94C83083EE5BFF18,rmzrZm9JLtYPiSCQo5ESlzqclj63,10666632024,0,0,0,0,0,0,1,0,1,0
