,index,customer_type,session_duration_microseconds,signed_up,pages_visited,app_removed,personalise_store_pageviews,purposeful_shelves_pageviews,digi_me_pageviews,homepage_duration_microseconds,add_to_cart,scan_qr,notification_open,notification_receive,price,quantity,total_cost,entered_store,visited_purposeful_shelves,entered_dm,visited_digi_me,visited_personalised_store,entered_welcome,entered_purposeful_shelves,cos_month,cos_wday,completed_transaction
0,600,0,0.0902992468254987,0,73,0,10,10,0,9.269092024549653e-05,0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0.1564344650402309,0.9009688679024191,0
1,238,0,0.0302360390954751,0,6,0,0,1,0,0.0126196390609697,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.1564344650402309,0.7818314824680298,0
2,111,0,0.0001664936588921,0,2,0,0,0,0,1.5417759126822923e-06,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.5877852522924731,0.4338837391175582,0
3,1006,0,0.0045862048956088,1,17,0,5,2,0,2.075103391380522e-06,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.1564344650402309,0.9009688679024191,0
4,1336,1,0.0001896632778151,0,6,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.4539904997395468,0.6234898018587336,0
5,568,0,0.0101018207258106,0,18,0,0,11,0,0.2136581788181948,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.4539904997395468,0.6234898018587336,0
6,440,0,0.0003033553954842,0,1,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.4539904997395468,0.6234898018587336,0
7,592,0,0.0048357474336178,0,12,0,9,1,0,4.575030000014926e-06,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.3090169943749474,0.9749279121818236,0
8,771,1,0.0526183853123545,0,17,0,5,7,0,0.0547924598702056,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.3090169943749474,0.6234898018587336,0
9,229,0,0.0064415082389077,0,14,0,4,0,0,1.0501050729617724e-07,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.3090169943749474,0.4338837391175582,0
10,1008,1,0.0067283328364634,0,19,0,0,21,0,3.316748305688961e-07,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.4539904997395468,0.4338837391175582,0
11,1080,0,0.2318814131447319,0,63,0,3,40,0,0.039266991872518,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.8910065241883679,0.6234898018587336,0
12,951,0,0.0001754627762231,0,6,0,0,0,0,0.0005485321820856,0,0,0,0,0.0,0.0,0.0,1,1,1,0,0,1,1,0.3090169943749474,0.6234898018587336,0
