event_date,session_timestamp,event_wday,user_id,user_customer_id,session_id,ga_session_number,customer_type,session_duration_microseconds,completed_transaction,signed_up,transaction_value,pages_visited,app_removed,personalise_store_pageviews,purposeful_shelves_pageviews,digi_me_pageviews,homepage_duration_microseconds,add_to_cart,scan_qr,notification_open,notification_receive
22/07/2022,1.65846E+15,Friday,0B907DABFE7A49CFB1CA0B43DEFC8A5E,,1658457686,1,New Visitor,4448006,0,0,,6,0,0,0,0,0,0,0,0,0
22/07/2022,1.65846E+15,Friday,2C1503D8D34246B8B2D875980614A0AA,,1658457629,1,New Visitor,4426006,0,0,,6,0,0,0,0,0,0,0,0,0
22/07/2022,1.6585E+15,Friday,FEB0684ADBFD48DC9A373A679CB338B8,,1658500947,1,New Visitor,4079006,0,0,,6,0,0,0,0,0,0,0,0,0
22/07/2022,1.6585E+15,Friday,721D880E47464D10A0DFEF50D52238BA,,1658500957,1,New Visitor,4388007,0,0,,7,0,0,0,0,0,0,0,0,0
22/07/2022,1.65849E+15,Friday,b1ad626d2506be76b5a74b6383335736,,1658489297,1,New Visitor,7681056002,0,0,,8,0,0,0,0,0,0,0,0,0
22/07/2022,1.6585E+15,Friday,b1ad626d2506be76b5a74b6383335736,ilkk3rXHfvRVozJzRT77tN1Bu9I2,1658489297,1,New Visitor,399612019,0,1,,70,0,17,21,0,2.4641E+11,0,0,0,0
30/09/2022,1.66453E+15,Friday,947280347.2,,1664527155,1,New Visitor,9640384,0,0,,0,0,0,0,0,0,0,0,0,0
30/09/2022,1.66453E+15,Friday,2413EB60F6C6460E830E617ABC5A46C4,,1664534277,1,New Visitor,15108999,0,0,,7,0,0,0,0,0,0,0,0,0
30/09/2022,1.66453E+15,Friday,2413EB60F6C6460E830E617ABC5A46C4,ne0k9Cy6UOVj60y5KtwBpeqxiiU2,1664534277,1,New Visitor,150436014,0,1,,27,0,9,0,0,41700995,0,0,0,0
01/07/2022,1.65669E+15,Friday,9EC44853E57D4CBA9BAFF10FBFFEF9C3,,1656685518,1,New Visitor,6472008,0,0,,7,0,0,0,0,0,0,0,0,0
01/07/2022,1.65668E+15,Friday,F820063027A047C2B9B76513650347CC,,1656675748,1,New Visitor,368004,0,0,,5,0,0,0,0,0,0,0,0,0
01/07/2022,1.65669E+15,Friday,9EC44853E57D4CBA9BAFF10FBFFEF9C3,bC4U0Iug1JaO1shnEQLyAEoIY453,1656685518,1,New Visitor,202331011,0,1,,26,0,2,12,0,18963009,0,6,0,0
01/07/2022,1.65668E+15,Friday,F820063027A047C2B9B76513650347CC,eHx4gdO3pjeh9lnY4qKODkttevv2,1656675748,1,New Visitor,3559387000,0,0,,6,0,0,31,0,63623999,0,28,0,0
07/10/2022,1.66516E+15,Friday,654976C513194D05BE0681398DB14343,w8sHrvUaQvWrFrGIY0o4fQO8bhM2,1665160696,1,New Visitor,0,0,0,,1,0,0,0,0,0,0,0,0,0
07/10/2022,1.66516E+15,Friday,654976C513194D05BE0681398DB14343,,1665160696,1,New Visitor,466004,0,0,,5,0,0,0,0,0,0,0,0,0
07/10/2022,1.66514E+15,Friday,40572DA15B6D48DE980A57439BB5BD30,,1665143869,1,New Visitor,4231005,0,0,,6,0,0,0,0,0,0,0,0,0
07/10/2022,1.66514E+15,Friday,BE38D2299B454CE6AB9303D74369A8A1,,1665144902,1,New Visitor,4363005,0,0,,6,0,0,0,0,0,0,0,0,0
07/10/2022,1.66515E+15,Friday,47084277751B40208460C9DC281B4749,,1665152900,1,New Visitor,4442006,0,0,,6,0,0,0,0,0,0,0,0,0
23/09/2022,1.66394E+15,Friday,b23fed60178e092af37263c8a0985ace,,1663941739,1,New Visitor,22128997,0,0,,4,0,0,0,0,0,0,0,0,0
23/09/2022,1.66394E+15,Friday,b23fed60178e092af37263c8a0985ace,8oNsyStKlsSebk0yu259ggKsJh82,1663941739,1,New Visitor,364703001,0,0,,8,0,0,0,0,2261452002,0,0,0,3
23/09/2022,1.66394E+15,Friday,bd1e34d007278fea519d51c98d349641,,1663943015,1,New Visitor,5088001,0,0,,2,0,0,0,0,0,0,0,0,0
23/09/2022,1.66393E+15,Friday,e086b005b05965ffe236c3bcc8546d4b,,1663931613,1,New Visitor,114518008,0,0,,12,0,0,0,0,0,0,0,0,0
23/09/2022,1.66394E+15,Friday,e086b005b05965ffe236c3bcc8546d4b,KUxTGWsFWDRfUAFKqJtuOuGKmnp1,,1,New Visitor,20888005,0,0,,3,0,0,0,0,0,0,0,0,0
23/09/2022,1.66393E+15,Friday,e086b005b05965ffe236c3bcc8546d4b,yUA5CHbldjZaDwLcYaa7u0yn8Eh1,1663931613,1,New Visitor,2632529021,0,0,,73,0,0,0,0,343980028,0,0,0,6
23/09/2022,1.66394E+15,Friday,bd1e34d007278fea519d51c98d349641,vxhkF3PN3oNPjzUzJx4iMdZLFz43,1663943015,1,New Visitor,2205206007,0,1,,22,0,3,1,0,1384206998,0,0,0,0
23/09/2022,1.66393E+15,Friday,e086b005b05965ffe236c3bcc8546d4b,KUxTGWsFWDRfUAFKqJtuOuGKmnp1,1663931613,1,New Visitor,214686003,0,1,,14,0,1,0,0,6137355996,0,0,0,0
15/07/2022,1.65788E+15,Friday,9e8181aa9471ad5c440934ed0a24fc20,,1657882807,1,New Visitor,215543999,0,0,,0,0,0,0,0,0,0,0,0,0
